,feed_amount,growth_rate
2024-01-01,1.040572762622519,0.16027044371197652
2024-01-02,1.4090962236653966,0.38178863218356884
2024-01-03,1.122397168073474,0.5714765901183322
2024-01-04,1.1020266897784192,0.7422546734140035
2024-01-05,1.157367896585526,0.9178409266604582
2024-01-06,1.1417244644447666,1.1123098055700469
2024-01-07,1.1931218926418388,1.2933314814005912
2024-01-08,1.1731142034100457,1.442660543693401
2024-01-09,1.2449096432818243,1.633515659303138
2024-01-10,1.392718436284942,1.8620275732611806
2024-01-11,1.4025854475325878,2.0610946046205663
2024-01-12,1.2503743969251664,2.26115561653601
2024-01-13,1.4417308688099801,2.479440267251668
2024-01-14,1.4994852343776146,2.663709138120184
2024-01-15,1.110411842917728,2.8550057401580893
2024-01-16,1.1730508848167034,3.03082678823933
2024-01-17,0.9911437401324158,3.17803065459271
2024-01-18,1.2527050996804643,3.387790704184516
2024-01-19,1.2585569867976676,3.5770702109855184
2024-01-20,0.87405081664986,3.710228893324094
2024-01-21,1.4473471496209374,3.9197076991620063
2024-01-22,1.171771931658062,4.080818155057772
2024-01-23,1.1473462839164066,4.27839721174199
2024-01-24,1.0804658031596945,4.4454259946677315
2024-01-25,1.27135652728682,4.626612650902147
2024-01-26,1.2308175125476728,4.801920670973445
2024-01-27,1.0928648155516827,4.966180818277831
2024-01-28,1.180492304260937,5.1473972625975275
2024-01-29,1.2542316456946478,5.347209367827654
2024-01-30,1.1605706221285657,5.493436400225098
