epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9873,1.39094,3.74813,0.96023,0.00698,0.7561,0.01844,0.01139,1.04965,3.55245,0.87239,8e-05,8e-05,8e-05
2,11.8697,1.29291,2.57683,0.91815,0.00364,0.29268,0.00457,0.00309,1.03485,3.64436,0.89539,0.000176436,0.000176436,0.000176436
3,17.1204,1.15562,1.24728,0.89872,0.01182,0.85366,0.01096,0.00863,0.90371,3.62556,0.8832,0.000268912,0.000268912,0.000268912
4,22.0212,1.06507,0.98764,0.87537,0.01248,0.92683,0.01222,0.00869,0.90706,3.50408,0.86331,0.000357428,0.000357428,0.000357428
5,27.1182,1.09202,0.96809,0.90812,0.01152,0.90244,0.01139,0.00836,0.95148,3.45834,0.86881,0.000441984,0.000441984,0.000441984
6,32.1043,0.98475,0.93468,0.85488,0.01177,0.95122,0.01246,0.00858,1.05472,3.36617,0.86955,0.00052258,0.00052258,0.00052258
7,37.1719,1.03367,0.93613,0.87934,0.00978,0.97561,0.02989,0.02134,0.83031,2.84901,0.83665,0.000599216,0.000599216,0.000599216
8,42.1226,0.98457,0.84668,0.86167,0.00784,0.97561,0.18123,0.13392,0.96138,2.6194,0.84463,0.000671892,0.000671892,0.000671892
9,47.3461,1.03297,0.90441,0.90682,0.0071,1,0.68723,0.48079,0.73479,2.59408,0.8204,0.000740608,0.000740608,0.000740608
10,52.5614,1.03686,0.8636,0.88476,0.04969,0.80488,0.76715,0.49676,0.88806,2.49354,0.82789,0.000805364,0.000805364,0.000805364
11,57.6833,0.91681,0.78685,0.85688,0.94333,0.81221,0.89105,0.64213,0.75084,2.02956,0.82917,0.00086616,0.00086616,0.00086616
12,62.7201,0.94925,0.80468,0.8599,1,0.60369,0.9234,0.75291,0.80148,1.8878,0.8285,0.000922996,0.000922996,0.000922996
13,67.7391,0.94481,0.8019,0.87093,1,0.5905,0.92522,0.68774,0.96349,1.95076,0.85326,0.000975872,0.000975872,0.000975872
14,72.7882,0.92817,0.78992,0.86949,1,0.59605,0.94429,0.77878,0.66188,1.86875,0.82342,0.00102479,0.00102479,0.00102479
15,77.8593,0.94707,0.8149,0.87064,0.94315,0.87805,0.946,0.77479,0.75739,1.42209,0.82522,0.00106974,0.00106974,0.00106974
16,83.0218,0.94667,0.79108,0.87044,0.93173,0.90244,0.9483,0.67713,1.12732,1.37054,0.87753,0.00111074,0.00111074,0.00111074
17,88.1865,0.91513,0.74569,0.867,0.9505,0.90244,0.95255,0.75526,0.78119,1.32034,0.85652,0.00114778,0.00114778,0.00114778
18,93.1533,0.82054,0.72172,0.83989,0.93832,0.90244,0.95225,0.79561,0.70859,1.15554,0.84755,0.00118085,0.00118085,0.00118085
19,98.164,0.85541,0.73444,0.86235,0.97361,0.9,0.93539,0.75571,0.81122,0.99221,0.85362,0.00120997,0.00120997,0.00120997
20,103.173,0.89409,0.75167,0.85699,0.92577,0.91267,0.9727,0.7324,0.83979,0.95421,0.84496,0.00123512,0.00123512,0.00123512
21,108.189,0.89838,0.7156,0.86067,0.97635,0.85366,0.95287,0.78345,0.66478,0.91349,0.83198,0.001208,0.001208,0.001208
22,113.199,0.84913,0.70976,0.86232,0.97309,0.88197,0.97809,0.86463,0.55595,0.93587,0.81693,0.0011684,0.0011684,0.0011684
23,118.242,0.91138,0.73037,0.8702,0.94608,0.8559,0.96844,0.81319,0.60791,0.93219,0.81929,0.0011288,0.0011288,0.0011288
24,123.559,0.86075,0.68874,0.86818,0.94079,0.90244,0.97279,0.72229,0.85027,0.84731,0.85787,0.0010892,0.0010892,0.0010892
25,128.616,0.82953,0.71867,0.85665,0.97334,0.89076,0.98085,0.76346,0.82963,0.78391,0.8445,0.0010496,0.0010496,0.0010496
26,133.658,0.87053,0.72002,0.85366,0.88529,0.95122,0.98245,0.78119,0.74485,0.68928,0.83646,0.00101,0.00101,0.00101
27,138.662,0.79725,0.70373,0.85129,0.9829,0.87805,0.9528,0.76551,0.70421,0.62448,0.83714,0.0009704,0.0009704,0.0009704
28,143.731,0.96809,0.76666,0.85904,0.98144,0.87805,0.96466,0.8457,0.54354,0.58571,0.8238,0.0009308,0.0009308,0.0009308
29,148.823,0.84101,0.67377,0.83946,0.98144,0.87805,0.98376,0.80699,0.64672,0.63468,0.82485,0.0008912,0.0008912,0.0008912
30,153.793,0.81715,0.69888,0.83612,0.97341,0.89314,0.98477,0.80136,0.74202,0.70236,0.83805,0.0008516,0.0008516,0.0008516
31,158.835,0.812,0.74754,0.86578,0.97324,0.88705,0.94613,0.77371,0.79412,0.75182,0.85049,0.000812,0.000812,0.000812
32,163.833,0.87096,0.71519,0.84985,0.99291,0.87805,0.96892,0.75427,0.91586,0.65372,0.86913,0.0007724,0.0007724,0.0007724
33,168.895,0.85019,0.67706,0.85892,0.98989,0.87805,0.96393,0.7991,0.69856,0.58912,0.84109,0.0007328,0.0007328,0.0007328
34,173.916,0.74819,0.65695,0.8174,0.99246,0.87805,0.96193,0.80574,0.6682,0.6113,0.83403,0.0006932,0.0006932,0.0006932
35,178.89,0.7972,0.68378,0.84135,1,0.87667,0.96193,0.81597,0.68121,0.60949,0.83235,0.0006536,0.0006536,0.0006536
36,184.143,0.78536,0.64841,0.85039,1,0.87261,0.96898,0.78036,0.71074,0.5874,0.84081,0.000614,0.000614,0.000614
37,189.379,0.72984,0.64434,0.83359,1,0.8703,0.94475,0.77442,0.74194,0.57574,0.8497,0.0005744,0.0005744,0.0005744
38,194.397,0.7507,0.604,0.83147,0.95092,0.94517,0.96703,0.78923,0.74066,0.58017,0.8484,0.0005348,0.0005348,0.0005348
39,199.448,0.72045,0.61715,0.83004,0.92644,0.92158,0.94044,0.77392,0.7519,0.5983,0.84566,0.0004952,0.0004952,0.0004952
40,204.49,0.75691,0.66252,0.83839,0.96798,0.90244,0.94805,0.75054,0.83235,0.59777,0.85507,0.0004556,0.0004556,0.0004556
41,209.388,0.66077,0.60797,0.8231,0.96733,0.90244,0.92913,0.72389,0.89966,0.6074,0.86643,0.000416,0.000416,0.000416
42,214.324,0.64394,0.59975,0.83499,0.94957,0.91867,0.93198,0.73754,0.86781,0.60895,0.86223,0.0003764,0.0003764,0.0003764
43,219.187,0.63982,0.60359,0.829,0.96827,0.90244,0.93331,0.76502,0.7826,0.58835,0.8539,0.0003368,0.0003368,0.0003368
44,224.122,0.62892,0.58851,0.81155,0.97263,0.90244,0.94753,0.80963,0.60463,0.53376,0.832,0.0002972,0.0002972,0.0002972
45,229.115,0.63347,0.58282,0.82813,0.97363,0.90066,0.95016,0.80646,0.60741,0.53394,0.83396,0.0002576,0.0002576,0.0002576
46,234.081,0.5734,0.57098,0.80188,0.97364,0.90099,0.9493,0.798,0.63115,0.54437,0.8349,0.000218,0.000218,0.000218
